zipcode,r_a,e_a,p_t_a,p_u_a,high_demand,n_t_a,n_u_a,is_desert,is_under5_desert
10001,0.5950970226633091,102878.03360298694,4.0,0,False,609.0,0.0,False,False
10002,0.5206618050654748,59604.04116465864,2093.2,744,True,4729.0,18.0,False,True
10003,0.4972437218107912,114273.04964539009,7106.8,2142,False,1995.0,0.0,True,True
10004,0.5066608429788163,132004.3103448276,3045.8,1440,False,263.0,0.0,True,True
10005,0.6658334280195433,121437.7133105802,711.6,433,True,39.0,0.0,True,True
10006,0.6316916488222698,126377.1186440678,825.4,484,True,156.0,14.0,True,True
10007,0.528910205169198,138853.90428211587,269.0,128,False,284.0,0.0,False,True
10009,0.5145674278475812,77133.23353293413,1230.0,605,False,1784.0,18.0,False,True
10010,0.4927491514964517,116272.69881026926,4655.0,1896,False,234.0,0.0,True,True
10011,0.5569999212164185,120420.79207920792,3582.8,1422,False,1956.0,42.0,False,True
10012,0.5382730015082956,111131.78633975482,3227.4,1209,False,24.0,0.0,True,True
10013,0.4861983499134213,106023.04469273744,1018.2,613,False,435.0,0.0,False,True
10014,0.6086012015885408,124233.12883435584,3182.6,1249,True,1711.0,71.0,False,True
10016,0.5652117934852582,109298.7308818744,1571.0,708,False,823.0,0.0,False,True
10017,0.7773022228358415,118061.72291296624,3905.0,1798,True,107.0,0.0,True,True
10018,0.757593255572237,108746.18902439025,509.2,193,True,0.0,0.0,True,True
10019,0.6170789879811065,107014.96779082986,534.4,242,True,591.0,0.0,False,True
10021,0.5418040450765218,124193.91462306994,2092.2,1099,False,460.0,0.0,True,True
10022,0.5698803072708867,124320.79414838034,0.0,0,False,16.0,0.0,False,False
10023,0.5057376799683438,121776.25639482395,4337.4,1787,False,1099.0,0.0,True,True
10024,0.4603816866855704,118313.14878892733,2802.6,1228,False,1243.0,15.0,False,True
10025,0.4391264898750361,93258.39398919934,7300.6,3548,False,2553.0,91.0,False,True
10026,0.4513262772768849,65380.71800810655,8854.0,4221,False,1706.0,18.0,True,True
10027,0.3941889797282922,61675.983037779486,10173.8,4499,False,3758.0,0.0,False,True
10028,0.5260625150381696,117822.24532224532,5481.2,2222,False,348.0,36.0,True,True
10029,0.4520326923585579,48339.6723229959,8854.8,3636,True,3358.0,0.0,True,True
10030,0.4055264167839325,48373.42271293375,4898.4,1719,True,1272.0,0.0,True,True
10031,0.4465631347880217,48674.798239178286,9673.8,3965,True,1577.0,0.0,True,True
10032,0.4551917989417989,46467.4900108972,4235.2,1872,True,3222.0,0.0,False,True
10033,0.4276881674643593,52235.16527279968,6585.4,2359,True,2893.0,0.0,True,True
10034,0.4544142410392109,50708.04658549497,5908.2,2238,True,3126.0,0.0,False,True
10035,0.3839875631558492,50944.669365722,7244.6,3206,True,2075.0,0.0,True,True
10036,0.5719366311024895,94940.64443188242,5804.8,2615,False,686.0,0.0,True,True
10037,0.5026648552617828,57120.58212058212,5722.6,2382,True,586.0,21.0,True,True
10038,0.5059332562224221,95681.62574089757,1589.6,634,False,802.0,20.0,False,True
10039,0.4219225750326228,47026.16970658208,2566.0,1070,True,1423.0,0.0,False,True
10040,0.4673218335509587,50772.05882352941,2127.6,772,True,2594.0,0.0,False,True
10044,0.3992908998818166,86945.03171247357,4632.0,1898,False,489.0,0.0,True,True
10065,0.491266729317217,120720.64643799471,5650.0,1970,False,845.0,40.0,True,True
10069,0.519252276721521,133653.84615384616,1756.8,939,False,16.0,0.0,True,True
10075,0.5635451505016722,120113.13056379822,4100.2,2230,False,235.0,0.0,True,True
10128,0.5517241379310345,111992.48721227625,1285.8,690,False,301.0,0.0,True,True
10162,0.4990151017728168,137335.52631578947,2520.6,1243,False,0.0,0.0,True,True
10280,0.4692977496324776,134397.5903614458,0.0,0,False,509.0,0.0,False,False
10282,0.3286821705426356,152181.6037735849,0.0,0,False,279.0,0.0,False,False
10301,0.4564726885026406,66913.36230309615,0.0,0,False,1905.0,10.0,False,False
10302,0.4766521247374374,57217.51412429378,0.0,0,True,744.0,0.0,False,False
10303,0.4733596721190414,52778.861154446175,0.0,0,True,1629.0,0.0,False,False
10304,0.4645149786019971,61216.41074856045,0.0,0,False,2020.0,41.0,False,False
10305,0.496553031200398,64277.19465648855,5659.2,2791,False,786.0,0.0,True,True
10306,0.5132309005548442,73657.31115731115,0.0,0,False,578.0,0.0,False,False
10307,0.4662826160623517,86900.43604651163,0.0,0,False,259.0,0.0,False,False
10308,0.4721529509559434,81452.4647887324,0.0,0,False,431.0,0.0,False,False
10309,0.4602763385146804,85576.92307692306,155.0,134,False,297.0,0.0,False,True
10310,0.4500933724608407,67453.42929720576,0.0,0,False,1168.0,0.0,False,False
10312,0.4781560663589242,83484.34925864909,0.0,0,False,1140.0,8.0,False,False
10314,0.448836839595146,74144.03778040141,0.0,0,False,1654.0,0.0,False,False
10451,0.4843016117401726,40553.319919517104,0.0,0,True,3287.0,0.0,False,False
10452,0.4703398453398453,35306.24661979448,0.0,0,True,6984.0,0.0,False,False
10453,0.4718542016545375,34474.69021882415,0.0,0,True,6841.0,0.0,False,False
10454,0.389063374966523,35661.76470588235,0.0,0,True,3163.0,0.0,False,False
10455,0.4238395673726904,35785.48644338118,0.0,0,True,3035.0,0.0,False,False
10456,0.4558848433530906,34503.467062902426,0.0,0,True,6942.0,0.0,False,False
10457,0.4239698309883859,34633.56973995271,0.0,0,True,6559.0,0.0,False,False
10458,0.4262318875638017,35868.3314415437,0.0,0,True,4657.0,0.0,False,False
10459,0.4231775844815642,36056.161891768985,0.0,0,True,4018.0,0.0,False,False
10460,0.4476040900888859,36095.55804404629,0.0,0,True,4820.0,0.0,False,False
10461,0.4883227176220807,57890.49919484702,0.0,0,True,1462.0,0.0,False,False
10462,0.508481160170918,49331.55080213904,630.2,318,True,3425.0,0.0,False,True
10463,0.4826732673267326,65918.80341880342,1338.0,418,False,4249.0,0.0,False,True
10464,0.5009319664492078,84418.6046511628,6133.6,2780,False,114.0,0.0,True,True
10465,0.4288398004793677,67554.12890231621,3324.0,1338,False,1888.0,0.0,False,True
10466,0.4438725388457654,47724.43890274314,4304.6,1262,True,3192.0,0.0,False,True
10467,0.459412640685624,42034.178610804855,6930.4,2234,True,6220.0,0.0,False,True
10468,0.445348108652653,37413.79310344827,5261.8,1653,True,4308.0,0.0,False,True
10469,0.4493334446578164,53108.54753793744,7927.799999999999,2606,True,2315.0,0.0,True,True
10470,0.4899285250162443,58968.83289124668,2206.2,1098,True,632.0,0.0,True,True
10471,0.4347256204124432,91633.16582914571,3888.6,1106,False,284.0,0.0,True,True
10472,0.4482024416770063,37918.66028708134,5375.6,1936,True,3577.0,0.0,False,True
10473,0.4711501655932231,46564.81808548216,4759.4,2167,True,3548.0,0.0,False,True
10474,0.4441489361702128,35229.54091816367,0.0,0,True,1194.0,0.0,False,False
10475,0.5172691132201209,56136.16170590848,10087.0,3668,True,1808.0,0.0,True,True
