bus,demand,,,
0,0.000000,,,
1,0.000000,,,
2,0.000000,,,
3,0.000000,,,
4,0.000000,,,
5,0.000000,,,
6,0.000000,,,
7,0.000000,,,
8,0.000000,,,
9,0.000000,,,
10,0.000000,,,
11,0.000000,,,
12,0.026634,,,
13,0.000000,,,
14,0.000000,,,
15,0.019290,,,
16,0.000000,,,
17,0.000000,,,
18,0.000000,,,
19,0.130895,,,
20,0.000000,,,
21,0.000000,,,
22,0.000000,,,
23,0.155230,,,
24,0.000000,,,
25,0.000000,,,
26,0.099734,,,
27,0.000000,,,
28,0.000000,,,
29,0.000000,,,
30,0.000000,,,
31,0.000000,,,
32,0.000000,,,
33,0.000000,,,
34,0.000000,,,
35,0.218956,,,
36,0.000000,,,
37,0.000000,,,
38,0.182657,,,
39,0.067848,,,
40,0.000000,,,
41,0.186696,,,
42,0.062760,,,
43,0.168296,,,
44,0.817860,,,
45,0.000000,,,
46,0.020730,,,
47,0.000000,,,
48,0.000000,,,
49,0.052291,,,
50,0.000000,,,
51,0.000000,,,
52,0.719637,,,
53,0.000000,,,
54,0.000000,,,
55,0.000000,,,
56,0.103281,,,
57,0.000000,,,
58,0.000000,,,
59,0.445596,,,
60,0.658513,,,
61,0.000000,,,
62,0.000000,,,
63,0.000000,,,
64,0.000000,,,
65,0.229764,,,
66,0.000000,,,
67,0.000000,,,
68,1.060307,,,
69,0.011866,,,
70,0.000000,,,
71,0.000000,,,
72,0.000000,,,
73,0.487114,,,
74,0.117245,,,
75,0.000000,,,
76,0.000000,,,
77,0.000000,,,
78,0.194455,,,
79,0.000000,,,
80,0.354357,,,
81,0.000000,,,
82,0.000000,,,
83,0.109196,,,
84,0.000000,,,
85,0.000000,,,
86,0.000000,,,
87,0.000000,,,
88,0.087739,,,
89,0.000000,,,
90,0.009536,,,
91,0.157601,,,
92,0.915301,,,
93,0.288722,,,
94,0.000000,,,
95,0.000000,,,
96,0.029024,,,
97,0.401177,,,
98,0.000000,,,
99,0.000000,,,
100,0.051287,,,
101,0.000000,,,
102,0.000000,,,
103,0.210891,,,
104,0.399822,,,
105,0.000000,,,
106,0.000000,,,
107,0.037731,,,
108,0.059386,,,
109,0.000000,,,
110,0.000000,,,
111,0.000000,,,
112,0.000000,,,
113,0.025232,,,
114,0.000000,,,
115,0.809729,,,
116,0.000000,,,
117,0.047420,,,
118,0.000000,,,
119,0.101326,,,
120,0.264218,,,
121,0.400179,,,
122,1.017942,,,
123,0.163833,,,
124,0.684371,,,
125,1.287036,,,
126,1.113224,,,
127,0.887995,,,
128,0.472235,,,
129,0.260599,,,
130,0.971144,,,
131,0.158594,,,
132,0.238312,,,
133,0.328797,,,
134,0.240475,,,
135,0.109756,,,
136,0.354556,,,
137,0.420658,,,
138,0.164119,,,
139,0.000000,,,
140,0.264399,,,
141,0.043133,,,
142,0.073287,,,
143,0.493058,,,
144,0.271681,,,
145,0.514734,,,
146,0.169714,,,
147,0.392277,,,
148,0.097850,,,
149,0.288255,,,
