generator,bus,fuel,U,sigma1,sigma2,X,,,,,
0,10,nuclear,12.99,412,412,4.33,,,,,
1,11,nuclear,10.12,412,412,3.373333333,,,,, 
2,12,rfo,0,7095.64,7609.72,3.306,,,,,
3,12,rfo,0,7095.64,7609.72,3.306,,,,, 
4,13,rfo,0,7024,7553.2,2.95,,,,,
5,14,nuclear,8.82,412,412,2.94,,,,,
6,15,coal,2.551,1403.673333,1471.02,3.183666667,,,,,
7,16,nuclear,12.593,412,412,4.697666667,,,,,
8,16,nuclear,6.418,412,412,2.839333333,,,,,
9,17,ng,6.21,2226.8,2331,2.736666667,,,,,
10,17,ng,6.21,2216.8,2325,2.603333333,,,,,
11,18,ng,6.21,2248.3,2344.5,3.003333333,,,,,
12,18,ng,6.21,2248.3,2344.5,3.003333333,,,,,
13,19,nuclear,6.14,0,0,3.986666667,,,,,
14,20,ng,1.484,1171.66,1464.78,0.568,,,,,
15,20,ng,2.23,1550.55,1637.25,1.266666667,,,,,
16,20,ng,2.23,1550.55,1637.25,1.266666667,,,,,
17,20,ng,0.952,1973.26,2003.38,0.617333333,,,,,
18,20,ng,0.952,1973.26,2003.38,0.617333333,,,,,
19,20,ng,0.952,1973.26,2003.38,0.617333333,,,,,
20,21,ng,3.87,2217.4,2356.2,1.556666667,,,,,
21,21,ng,3.87,2217.3,2356.1,1.556666667,,,,,
22,21,ng,3.87,2217.3,2356.1,1.556666667,,,,,
23,21,ng,3.87,2207.3,2350.1,1.49,,,,,
24,22,ng,5.355,2239.05,2316.15,2.785,,,,,
25,22,ng,3.42,2277.2,2378,1.74,,,,,
26,23,ng,1.88,2320.333333,2447.2,0.726666667,,,,,
27,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
28,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
29,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
30,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
31,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
32,23,ng,1.88,6119.533333,6177.2,0.726666667,,,,,
33,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
34,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
35,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
36,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
37,23,ng,0.25933,2267.303433,2272.7631,0.209696667,,,,,
38,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
39,23,ng,0.25933,6095.428833,6097.9105,0.209696667,,,,,
40,24,ng,1.41,1585.1,1693.9,1.07,,,,,
41,24,ng,1.41,1585.1,1693.9,1.07,,,,,
